0.41305,0.38211
0.39982,0.74895
0.38869,0.90406
0.37995,0.56888
0.373,0.21303
0.36576,0.13057
0.35821,0.14477
0.35067,0.15609
0.34343,0.16452
0.3359,0.17266
0.32808,0.18108
0.31996,0.18346
0.31155,0.18898
0.30315,0.19421
0.29476,0.19656
0.28638,0.19918
0.2798,0.20151
0.27413,0.20383
0.26818,0.20041
0.26224,0.19382
0.25631,0.18464
0.2507,0.17517
0.246,0.15708
0.24101,0.12981
0.23605,0.10282
0.2305,0.075819
0.22437,0.051685
0.21765,0.042464
0.21276,0.047583
0.21057,0.073353
0.21198,0.063833
0.22119,0.054598
0.24268,0.056834
0.27825,0.076856
0.32788,0.11122
0.38771,0.14902
0.45353,0.18654
0.51967,0.21516
0.58045,0.24092
0.63198,0.25491
0.67246,0.26604
0.6995,0.27142
0.71849,0.27366
0.73421,0.27876
0.74337,0.27814
0.74686,0.28067
0.74589,0.28004
0.74105,0.27943
0.73263,0.27881
0.72065,0.27505
0.70479,0.27444
0.68506,0.27987
0.66205,0.29391
0.63876,0.30222
0.61459,0.3134
0.58625,0.3332
0.55552,0.34756
0.52421,0.35274
0.49381,0.33155
0.46521,0.29286
0.43992,0.25131
0.41792,0.23014
0.39922,0.22677
0.38412,0.22628
0.37171,0.22006
0.36171,0.22246
0.3547,0.32758
0.3492,0.65905
0.3434,0.92599
0.3373,0.70526
0.33091,0.2995
0.32423,0.13186
0.31725,0.11973
0.30967,0.13401
0.30239,0.14256
0.29482,0.14798
0.28724,0.15054
0.27996,0.15628
0.27478,0.15888
0.27049,0.16149
0.26531,0.16442
0.25952,0.16994
0.25433,0.16975
0.24973,0.16957
0.24513,0.16655
0.24083,0.16355
0.23622,0.15741
0.23131,0.14556
0.2258,0.12799
0.21908,0.10729
0.21236,0.080869
0.20803,0.054474
0.20788,0.033839
0.21341,0.019252
0.22939,0.016451
0.25883,0.031173
0.30291,0.06055
0.35985,0.098845
0.42545,0.13716
0.49374,0.1669
0.55903,0.19351
0.61655,0.21125
0.66359,0.22643
0.69597,0.23533
0.71699,0.24167
0.73262,0.24775
0.74227,0.25127
0.74623,0.25453
0.7457,0.25495
0.74158,0.2554
0.73417,0.25587
0.72347,0.25637
0.70858,0.25689
0.69009,0.25744
0.66802,0.26978
0.64296,0.28501
0.6185,0.29453
0.59344,0.31268
0.56509,0.33086
0.53525,0.34046
0.50571,0.33229
0.47767,0.29804
0.45202,0.25751
0.42936,0.23192
0.4097,0.227
0.39304,0.22785
0.37937,0.22556
0.3678,0.22072
0.35923,0.26868
0.35276,0.51919
0.34659,0.8667
0.34014,0.91472
0.33369,0.42228
0.32755,0.16769
0.32142,0.13659
0.315,0.14624
0.30829,0.15907
0.30159,0.16905
0.29431,0.17301
0.28644,0.18015
